ranking_gabi_preliminar,municipio,eleitorado,populacao,score_gabi_preliminar,prioridade_visita_gabi,status_articulacao_gabi,meta_votos_referencia_gabi,ranking_base_davi,indice_estrategico_base_davi,prefeito_2024,partido_prefeito_2024,votos_prefeito_2024,margem_vitoria_prefeito,vereadores_mapeados,votos_vereadores_total,potencial_transferencia_vereadores_5pct,potencial_transferencia_vereadores_10pct,potencial_transferencia_vereadores_15pct,relacao_gabi,aderencia_gabi,grupo_politico_gabi,observacao_curadoria_gabi,justificativa_prioridade_gabi,municipio_key
11,Atalaia,32883,38530,5.0173137117059525,Alta,Priorizar curadoria,753,12,0.0130121074857304,CECILIA LIMA HERRMANN,MDB,19600,17177.0,0.0,18928.0,946,1893,2839,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",ATALAIA
12,Santana do Ipanema,33506,47397,5.000321429541613,Alta,Priorizar curadoria,750,11,0.0140167165913523,JOAO EDUARDO BULHOES PORTELA DE MELO,MDB,16302,8034.0,0.0,15135.0,757,1514,2270,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",SANTANA DO IPANEMA
13,Teotônio Vilela,31976,39161,4.494016243606433,Alta,Priorizar curadoria,674,13,0.0128109977433508,PEDRO HENRIQUE DE JESUS PEREIRA,PP,17729,12491.0,0.0,11911.0,596,1191,1787,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",TEOTONIO VILELA
14,Pilar,29137,36499,4.334124548666826,Alta,Priorizar curadoria,650,14,0.0117494909850829,MARIA DE FATIMA RESENDE ROCHA OITICICA,MDB,13008,7837.0,0.0,15007.0,750,1501,2251,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",PILAR
15,Girau do Ponciano,28487,37335,4.209541971990317,Alta,Priorizar curadoria,632,15,0.0116411221684923,GILBERTO BEZERRA BARROS,PP,15885,9527.0,0.0,13903.0,695,1390,2085,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",GIRAU DO PONCIANO
16,São Sebastião,27531,32701,3.9811863509659426,Alta,Priorizar curadoria,597,16,0.0109354595945992,CHARLES NUNES REGUEIRA,PP,11980,3177.0,0.0,13164.0,658,1316,1975,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",SAO SEBASTIAO
17,Campo Alegre,27202,32714,3.71213861611831,Alta,Priorizar curadoria,557,17,0.0108423973041757,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,PP,12217,3788.0,0.0,9403.0,470,940,1410,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",CAMPO ALEGRE
18,Maragogi,25140,33232,3.6354552477082933,Alta,Priorizar curadoria,546,18,0.0102998000326574,DANIEL MENDES DE VASCONCELOS FERREIRA,PP,9877,874.0,0.0,11613.0,581,1161,1742,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",MARAGOGI
19,São Luís do Quitunde,24159,31792,3.484278294420733,Alta,Priorizar curadoria,523,19,0.0098845418530158,MARCIA RAFAELA BARROS DE VASCONCELOS,MDB,10379,2154.0,0.0,11282.0,564,1128,1692,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",SAO LUIS DO QUITUNDE
20,Craíbas,22009,26115,3.374536940948327,Alta,Priorizar curadoria,506,21,0.0087395733156766,TEÓFILO JOSÉ BARROSO PEREIRA,PP,11286,4191.0,0.0,14815.0,741,1482,2222,A CURAR,A CURAR,A CURAR,,"Município estratégico para expansão inicial da candidatura à reeleição, com necessidade de curadoria de lideranças locais.",CRAIBAS
21,São José da Tapera,23599,31557,3.339767163881306,Média,Avaliar após top 20,501,20,0.0097021827350035,JARBAS PEREIRA RICARDO,MDB,11679,6431.0,0.0,9995.0,500,1000,1499,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,SAO JOSE DA TAPERA
22,Porto Calvo,22018,24520,3.2110110163999845,Média,Avaliar após top 20,482,22,0.0085935545390915,ERONITA SPOSITO LEAO E LIMA,MDB,12829,9477.0,0.0,12606.0,630,1261,1891,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,PORTO CALVO
23,Murici,20853,25933,3.016072761139702,Média,Avaliar após top 20,453,23,0.0083913708773492,REMI VASCONCELOS CALHEIROS FILHO,MDB,10363,6025.0,0.0,11107.0,555,1111,1666,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,MURICI
24,Viçosa,21118,24423,3.006320631720191,Média,Avaliar após top 20,451,24,0.0083266267180308,JOÃO VICTOR CALHEIROS AMORIM SANTOS,MDB,9301,2564.0,0.0,10904.0,545,1090,1636,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,VICOSA
25,Limoeiro de Anadia,20574,25197,2.94737916821347,Média,Avaliar após top 20,442,26,0.0082428555012198,JAMES MARLAN FERREIRA BARBOSA,PP,11438,8282.0,0.0,10689.0,534,1069,1603,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,LIMOEIRO DE ANADIA
26,Igaci,21092,24452,2.9097379600722357,Média,Avaliar após top 20,437,25,0.008321878314131,JOSE PETRUCIO OLIVEIRA BARBOSA,MDB,10377,5673.0,0.0,9387.0,469,939,1408,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,IGACI
27,Feira Grande,19433,23191,2.8703502548493907,Média,Avaliar após top 20,431,33,0.0077290188439578,DÁRIO ROBERTO SILVA LIRA,MDB,10095,4313.0,0.0,11985.0,599,1198,1798,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,FEIRA GRANDE
28,Junqueiro,20569,24381,2.8385783800425424,Média,Avaliar após top 20,426,27,0.0081654003849594,CICERO LEANDRO PEREIRA DA SILVA,MDB,8805,1468.0,0.0,9171.0,459,917,1376,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,JUNQUEIRO
29,Piranhas,20339,23053,2.8254750938573463,Média,Avaliar após top 20,424,28,0.0079757722345121,TIAGO TORRES FREITAS,MDB,11565,7927.0,0.0,9725.0,486,972,1459,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,PIRANHAS
30,Traipu,19430,24124,2.7882063567321405,Média,Avaliar após top 20,418,29,0.0078150818662036,MANUEL LUCAS KUMMER FREITAS DOS SANTOS,MDB,12379,10811.0,0.0,10412.0,521,1041,1562,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,TRAIPU
31,Boca da Mata,20100,21517,2.7847939127182704,Média,Avaliar após top 20,418,32,0.0077641869195003,BRUNO FEIJÓ TEIXEIRA,PP,9227,3426.0,0.0,9908.0,495,991,1486,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,BOCA DA MATA
32,Matriz de Camaragibe,19218,24330,2.711765168110438,Média,Avaliar após top 20,407,31,0.0077735261714553,FERNANDO HENRIQUE LIMA CAVALCANTE,MDB,10842,7634.0,0.0,9494.0,475,949,1424,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,MATRIZ DE CAMARAGIBE
33,Pão de Açúcar,19298,24291,2.687680957446014,Média,Avaliar após top 20,403,30,0.0077928163791783,JORGE SILVA DANTAS,MDB,10379,7344.0,0.0,8978.0,449,898,1347,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,PAO DE ACUCAR
34,Mata Grande,19084,22147,2.6678447809192303,Média,Avaliar após top 20,400,34,0.0075317505655407,MARIA FABIANA FARIAS DE ALENCAR,MDB,7728,1137.0,0.0,9620.0,481,962,1443,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,MATA GRANDE
35,Igreja Nova,18088,22125,2.5704491044591755,Média,Avaliar após top 20,386,35,0.0072443017395498,TIAGO GOMES DOS SANTOS,MDB,7230,527.0,0.0,9791.0,490,979,1469,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,IGREJA NOVA
36,São José da Laje,17911,21193,2.451704581600331,Média,Avaliar após top 20,368,36,0.0071067537128254,ANGELA VANESSA ROCHA PEREIRA BEZERRA,MDB,8144,2944.0,0.0,8444.0,422,844,1267,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,SAO JOSE DA LAJE
37,Porto Real do Colégio,18066,20262,2.380044551149351,Média,Avaliar após top 20,357,37,0.0070644319183767,HIGOR JOSÉ SANTOS FREITAS,PP,9439,4649.0,0.0,7277.0,364,728,1092,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,PORTO REAL DO COLEGIO
38,Lagoa da Canoa,17464,18831,2.31559439996885,Média,Avaliar após top 20,347,38,0.0067586129216149,EDILZA ALVES DE SOUZA,PP,7948,7501.0,0.0,7680.0,384,768,1152,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,LAGOA DA CANOA
39,Satuba,15277,25000,2.2428304513534694,Média,Avaliar após top 20,337,39,0.0067066711561718,DIOGENES JOSÉ NETO DE AMORIM,PP,12047,0.0,0.0,8618.0,431,862,1293,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,SATUBA
40,Água Branca,16682,19550,2.233409055262303,Média,Avaliar após top 20,335,41,0.0066015198452389,NAYARA EMMANUELA BATISTA FEITOSA,PP,9227,6629.0,0.0,7520.0,376,752,1128,A CURAR,A CURAR,A CURAR,,Município relevante para segunda onda de visitas e validação de aderência política.,AGUA BRANCA
41,Major Isidoro,15802,17834,2.174687767167064,Monitoramento,Monitorar,82,43,0.0061894892941926,THEOBALDO CAVALCANTI LINS NETTO,MDB,7400,2661.0,0.0,8577.0,429,858,1287,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,MAJOR ISIDORO
42,Colônia Leopoldina,15772,15949,2.1291983513671573,Monitoramento,Monitorar,80,44,0.0060052774867033,ALEXANDRE GILBERTO SOBREIRA,MDB,5995,1726.0,0.0,8415.0,421,842,1262,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,COLONIA LEOPOLDINA
43,Taquarana,15757,19422,2.086199121275502,Monitoramento,Monitorar,78,42,0.0063245402840937,GERALDO CICERO DA SILVA,MDB,6517,844.0,0.0,6795.0,340,680,1019,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,TAQUARANA
44,Joaquim Gomes,15290,17386,2.0546581069317353,Monitoramento,Monitorar,77,45,0.006001040275056,ELIAS JOSE DA SILVA,PSB,5172,0.0,0.0,7659.0,383,766,1149,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,JOAQUIM GOMES
45,Canapi,15330,15743,2.0324858925706977,Monitoramento,Monitorar,76,48,0.0058594325001285,JOSÉLIA MELO DE LIMA,PP,7399,3015.0,0.0,7684.0,384,768,1153,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CANAPI
46,Cajueiro,15200,16605,1.9833766882538288,Monitoramento,Monitorar,74,47,0.0059024895653799,LUCILA RÉGIA ALBUQUERQUE TOLEDO,MDB,5969,1359.0,0.0,6883.0,344,688,1032,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CAJUEIRO
47,Batalha,13756,17103,1.9618969004457147,Monitoramento,Monitorar,74,52,0.0055351140474939,WAGNEY DANTAS CORREIA CAJE,MDB,6951,4160.0,0.0,8912.0,446,891,1337,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,BATALHA
48,Inhapi,14546,15417,1.9583435863036596,Monitoramento,Monitorar,73,50,0.0056044092289898,LUIZ CELSO MALTA BRANDÃO FILHO,PP,9646,8729.0,0.0,7944.0,397,794,1192,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,INHAPI
49,Barra de Santo Antônio,15387,16735,1.875745838320174,Monitoramento,Monitorar,70,46,0.0059681849623076,LIVIA CARLA DA SILVA ALVES,REPUBLICANOS,7647,2804.0,0.0,4790.0,240,479,718,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,BARRA DE SANTO ANTONIO
50,Messias,14439,15707,1.871506119641607,Monitoramento,Monitorar,70,51,0.0056007666337882,MARCOS JOSÉ HERCULANO DA SILVA,REPUBLICANOS,7223,3816.0,0.0,6653.0,333,665,998,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,MESSIAS
51,Olho d'Água das Flores,16469,21132,1.7700964353791764,Monitoramento,Monitorar,66,40,0.0066878722224231,JOSÉ LUIZ VASCONCELLOS DOS ANJOS,MDB,8611,5211.0,0.0,0.0,0,0,0,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,OLHO D'AGUA DAS FLORES
52,Anadia,13178,14193,1.7422450313139877,Monitoramento,Monitorar,65,55,0.0050983815592781,PAULO VICTOR PEREIRA ROCHA,PP,5446,807.0,0.0,7182.0,359,718,1077,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,ANADIA
53,Capela,13391,15068,1.7345299838274277,Monitoramento,Monitorar,65,53,0.0052409348323462,THIAGO DE MEDEIROS MOURA,MDB,6085,1691.0,0.0,6447.0,322,645,967,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CAPELA
54,Piaçabuçu,14386,16201,1.7299824241570454,Monitoramento,Monitorar,65,49,0.0056316030866728,RYMES MARINHO LESSA,MDB,5010,1383.0,0.0,4332.0,217,433,650,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PIACABUCU
55,Estrela de Alagoas,13068,15701,1.6837686055173167,Monitoramento,Monitorar,63,54,0.0052073539237752,ROBERTO FERREIRA WANDERLEY,MDB,5538,1481.0,0.0,6018.0,301,602,903,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,ESTRELA DE ALAGOAS
56,Paripueira,12809,14176,1.6554681862313174,Monitoramento,Monitorar,62,56,0.0049910625126986,CARLOS ABRAHÃO GOMES DE MOURA,MDB,7170,4109.0,0.0,6432.0,322,643,965,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PARIPUEIRA
57,Passo de Camaragibe,12595,14076,1.5486683948741662,Monitoramento,Monitorar,58,57,0.0049204253311797,ELLISSON SANTOS DA SILVA,REPUBLICANOS,6934,3587.0,0.0,5113.0,256,511,767,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PASSO DE CAMARAGIBE
58,Ibateguara,11919,13992,1.451429739710102,Monitoramento,Monitorar,54,58,0.0047188948172057,MANOEL GERAERTES ALVES CRUZ,MDB,6657,4531.0,0.0,4747.0,237,475,712,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,IBATEGUARA
59,Poço das Trincheiras,11129,12974,1.4311917723470373,Monitoramento,Monitorar,54,60,0.0043976823063316,JOSE VALMIRO GOMES DA COSTA,MDB,3961,1409.0,0.0,6075.0,304,608,911,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,POCO DAS TRINCHEIRAS
60,Maribondo,11101,13968,1.426616906924945,Monitoramento,Monitorar,54,59,0.0044822647402321,BRUNO ZEFERINO DO CARMO TEIXEIRA,PSB,5081,1154.0,0.0,5777.0,289,578,867,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,MARIBONDO
61,Novo Lino,10193,10298,1.2906846752879253,Monitoramento,Monitorar,48,65,0.0038801671086606,MARCELA SILVA GOMES DE BARROS,MDB,5935,3982.0,0.0,6177.0,309,618,927,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,NOVO LINO
62,Olivença,10260,11048,1.2676039743911391,Monitoramento,Monitorar,48,64,0.0039692391690208,JOSIMAR DIONISIO,MDB,4857,1533.0,0.0,5483.0,274,548,822,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,OLIVENCA
63,Campo Grande,9546,8293,1.2569967915695879,Monitoramento,Monitorar,47,72,0.0035079770359287,TEOGENES HIGINO MELO LESSA,PSB,4335,1277.0,0.0,7311.0,366,731,1097,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CAMPO GRANDE
64,Quebrangulo,10470,11305,1.251997115353405,Monitoramento,Monitorar,47,61,0.0040533570257749,MANOEL COSTA TENÓRIO,PSDB,2964,5.0,0.0,4796.0,240,480,719,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,QUEBRANGULO
65,Dois Riachos,9898,9906,1.2447146288473312,Monitoramento,Monitorar,47,69,0.0037591156607118,ROZINEIDE BARBOSA DE ARAÚJO CAMILO,MDB,4470,1370.0,0.0,6058.0,303,606,909,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,DOIS RIACHOS
66,Senador Rui Palmeira,9890,12549,1.243669922112531,Monitoramento,Monitorar,47,62,0.0040030575807539,JOÃO CARLOS RODRIGUES,MDB,4778,2212.0,0.0,5329.0,266,533,799,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,SENADOR RUI PALMEIRA
67,Coité do Nóia,9675,11036,1.233503683888578,Monitoramento,Monitorar,46,67,0.0038004921428997,BUENO HIGINO DE SOUZA SILVA,PP,5687,3682.0,0.0,5955.0,298,596,893,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,COITE DO NOIA
68,Ouro Branco,10077,11699,1.1964877323368355,Monitoramento,Monitorar,45,63,0.0039774515787206,TACIA DENYSE DE SIQUEIRA NOBRE,PP,5480,2807.0,0.0,4478.0,224,448,672,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,OURO BRANCO
69,Santana do Mundaú,9627,11568,1.1472938115226743,Monitoramento,Monitorar,43,66,0.0038363015810328,ANDRÉ LUIZ GOES CASTRO,MDB,5322,3350.0,0.0,4505.0,225,450,676,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,SANTANA DO MUNDAU
70,Japaratinga,9070,9443,1.1442143674465686,Monitoramento,Monitorar,43,73,0.0034787208297486,JOSÉ SEVERINO DA SILVA,MDB,4957,2186.0,0.0,6008.0,300,601,901,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,JAPARATINGA
71,Pariconha,9746,10803,1.123668157833401,Monitoramento,Monitorar,42,68,0.0037991294917576,ANTONIO TELMO NOIA,MDB,4892,2491.0,0.0,4128.0,206,413,619,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PARICONHA
72,Branquinha,9547,9786,1.098718128207505,Monitoramento,Monitorar,41,70,0.0036473584676894,RAIMUNDO JOSÉ DE FREITAS LOPES,MDB,6115,0.0,0.0,4352.0,218,435,653,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,BRANQUINHA
73,Cacimbinhas,8896,10701,1.0864218889666049,Monitoramento,Monitorar,41,71,0.0035460631164471,WLADIMIR ARAÚJO WANDERLEY,MDB,6336,0.0,0.0,5035.0,252,504,755,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CACIMBINHAS
74,Jequiá da Praia,8624,9625,1.0344919003967055,Monitoramento,Monitorar,39,76,0.0033678775624498,CARLOS FELIPE CASTRO JATOBA LINS,PP,5250,4267.0,0.0,4968.0,248,497,745,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,JEQUIA DA PRAIA
75,Flexeiras,8929,9767,1.000530811980318,Monitoramento,Monitorar,38,74,0.0034685032910371,SILVANA MARIA CAVALCANTE DA COSTA PINTO,PP,4867,3029.0,0.0,3852.0,193,385,578,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,FLEXEIRAS
76,Porto de Pedras,8406,9508,1.0003579517144316,Monitoramento,Monitorar,38,77,0.0032945103996158,ALLAN DE JESUS SILVA,MDB,3691,194.0,0.0,4830.0,242,483,724,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PORTO DE PEDRAS
77,Maravilha,8914,9715,0.9543368668378085,Monitoramento,Monitorar,38,75,0.0034593605462463,ANTÔNIO JORGE RODRIGUES,REPUBLICANOS,3824,680.0,0.0,3149.0,157,315,472,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,MARAVILHA
78,São Miguel dos Milagres,8283,8687,0.9245785091716189,Monitoramento,Monitorar,38,78,0.0031827771045455,JADSON LESSA DOS SANTOS,MDB,4014,1150.0,0.0,4050.0,202,405,608,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,SAO MIGUEL DOS MILAGRES
79,Barra de São Miguel,8167,8118,0.9092873585247951,Monitoramento,Monitorar,38,79,0.0030965271297553,BENEDITO DE LIRA,PP,4563,2428.0,0.0,4162.0,208,416,624,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,BARRA DE SAO MIGUEL
80,Carneiros,7662,9200,0.8759756820927973,Monitoramento,Monitorar,38,81,0.0030526259083192,UBIRATANIA MARIA SANTANA,MDB,4002,2057.0,0.0,4207.0,210,421,631,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CARNEIROS
81,São Brás,7404,6557,0.7580429531103818,Monitoramento,Monitorar,38,82,0.0027324629160571,KLINGER QUIRINO SANTOS,MDB,4123,2206.0,0.0,3484.0,174,348,523,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,SAO BRAS
82,Paulo Jacinto,6749,6697,0.7031261488721352,Monitoramento,Monitorar,38,84,0.0025578187463442,FRANCISCO MANOEL FERREIRA FONTAN,PP,3233,1060.0,0.0,3701.0,185,370,555,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,PAULO JACINTO
83,Chã Preta,7014,6010,0.6944987627392837,Monitoramento,Monitorar,38,83,0.0025697491292145,MAURICIO DE VASCONCELOS HOLANDA,MDB,3892,2174.0,0.0,3290.0,164,329,494,A CURAR,A CURAR,A CURAR,,Município mantido em monitoramento para atualização posterior conforme novas alianças.,CHA PRETA
